URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG WORD LENGTH,PERSONAL PRONOUNS COUNT
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,30,6,0.6666666481481487,0.06260869554328923,15.653846153846153,10.647010647010648,10.52034272034272,4.708435708435708,12
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,50,23,0.3698630086320136,0.09068322970101463,18.2625,21.492128678986997,15.9018514715948,5.635181382614648,6
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,34,20,0.25925925445816195,0.08557844677404366,18.70175438596491,28.893058161350844,19.037925018926302,6.274859287054409,13
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,30,62,-0.34782608317580344,0.14910858970971055,20.26923076923077,27.798861480075903,19.22723689972267,6.131878557874763,5
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,18,7,0.4399999824000007,0.06684491960736652,17.46153846153846,19.08957415565345,14.620445046876766,5.684287812041116,6
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,73,24,0.5051546339674781,0.08866544781657637,20.875,23.952095808383234,17.930838323353296,6.109961894393032,6
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,33,70,-0.359223297483269,0.1270036989802667,17.878048780487806,19.508867667121418,14.95476657904369,5.439972714870396,1
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,30,7,0.6216216048210378,0.07581967197577937,15.9375,29.80392156862745,18.29656862745098,6.461437908496732,3
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,30,38,-0.11764705709342564,0.11295681044359333,16.57894736842105,30.158730158730158,18.695071010860485,6.495238095238095,3
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,120,141,-0.08045976980666755,0.14364336811026782,15.405857740585773,21.700162954915804,14.842408278200631,5.51113525258012,13
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,53,14,0.5820895435509024,0.08180708170719526,21.34328358208955,26.223776223776223,19.02682392234631,5.933566433566433,3
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,68,19,0.5632183843308232,0.10034602064550632,20.7875,15.694527961515334,14.592811184606134,5.7191822008418525,2
